name,sub_name,sub_name_sub,roman,sub_roman
北海道,ほっかいどう,ほっかいどう,Hokkaido,Hokkaido
札幌市,さっぽろし,さっぽろ,Sapporo,Sapporo
中央区,ちゅうおうく,ちゅうおう,Chuo,Tyuo
北区,きたく,きた,Kita,Kita
東区,ひがしく,ひがし,Higashi,Higasi
白石区,しろいしく,しろいし,Shiroishi,Siroisi
豊平区,とよひらく,とよひら,Toyohira,Toyohira
南区,みなみく,みなみ,Minami,Minami
西区,にしく,にし,Nishi,Nisi
厚別区,あつべつく,あつべつ,Atsubetsu,Atubetu
手稲区,ていねく,ていね,Teine,Teine
清田区,きよたく,きよた,Kiyota,Kiyota
函館市,はこだてし,はこだて,Hakodate,Hakodate
小樽市,おたるし,おたる,Otaru,Otaru
旭川市,あさひかわし,あさひかわ,Asahikawa,Asahikawa
室蘭市,むろらんし,むろらん,Muroran,Muroran
釧路市,くしろし,くしろ,Kushiro,Kusiro
帯広市,おびひろし,おびひろ,Obihiro,Obihiro
北見市,きたみし,きたみ,Kitami,Kitami
夕張市,ゆうばりし,ゆうばり,Yubari,Yubari
岩見沢市,いわみざわし,いわみざわ,Iwamizawa,Iwamizawa
網走市,あばしりし,あばしり,Abashiri,Abasiri
留萌市,るもいし,るもい,Rumoi,Rumoi
苫小牧市,とまこまいし,とまこまい,Tomakomai,Tomakomai
稚内市,わっかないし,わっかない,Wakkanai,Wakkanai
美唄市,びばいし,びばい,Bibai,Bibai
芦別市,あしべつし,あしべつ,Ashibetsu,Asibetu
江別市,えべつし,えべつ,Ebetsu,Ebetu
赤平市,あかびらし,あかびら,Akabira,Akabira
紋別市,もんべつし,もんべつ,Monbetsu,Monbetu
士別市,しべつし,しべつ,Shibetsu,Sibetu
名寄市,なよろし,なよろ,Nayoro,Nayoro
三笠市,みかさし,みかさ,Mikasa,Mikasa
根室市,ねむろし,ねむろ,Nemuro,Nemuro
千歳市,ちとせし,ちとせ,Chitose,Titose
滝川市,たきかわし,たきかわ,Takikawa,Takikawa
砂川市,すながわし,すながわ,Sunagawa,Sunagawa
歌志内市,うたしないし,うたしない,Utashinai,Utasinai
深川市,ふかがわし,ふかがわ,Fukagawa,Hukagawa
富良野市,ふらのし,ふらの,Furano,Hurano
登別市,のぼりべつし,のぼりべつ,Noboribetsu,Noboribetu
恵庭市,えにわし,えにわ,Eniwa,Eniwa
伊達市,だてし,だて,Date,Date
北広島市,きたひろしまし,きたひろしま,Kitahiroshima,Kitahirosima
石狩市,いしかりし,いしかり,Ishikari,Isikari
北斗市,ほくとし,ほくと,Hokuto,Hokuto
石狩振興局,いしかりしんこうきょく,いしかり,Ishikari,Isikari
当別町,とうべつちょう,とうべつ,Tobetsu,Tobetu
新篠津村,しんしのつむら,しんしのつ,Shinshinotsu,Sinsinotu
渡島総合振興局,おしまそうごうしんこうきょく,おしま,Oshima,Osima
松前町,まつまえちょう,まつまえ,Matsumae,Matumae
福島町,ふくしまちょう,ふくしま,Fukushima,Hukusima
知内町,しりうちちょう,しりうち,Shiriuchi,Siriuti
木古内町,きこないちょう,きこない,Kikonai,Kikonai
七飯町,ななえちょう,ななえ,Nanae,Nanae
鹿部町,しかべちょう,しかべ,Shikabe,Sikabe
森町,もりまち,もり,Mori,Mori
八雲町,やくもちょう,やくも,Yakumo,Yakumo
